country_code,image_code,description,response_description,response_due,response_note
US,NRES,Letter Restarting Period for Response (i.e. Letter re: References),Notice of Appeal Due,2.months,
US,NRES,Letter Restarting Period for Response (i.e. Letter re: References),Submit Request for Continued Examination,6.months,
US,NRES,Letter Restarting Period for Response (i.e. Letter re: References),Response to Final Office Action Due for Advisory Action,2.months,
US,NRES,Letter Restarting Period for Response (i.e. Letter re: References),Response to Non-Final Office Action (3 months Extension),6.months,
US,NRES,Letter Restarting Period for Response (i.e. Letter re: References),Response to Non-Final Office Action (2 months Extension),5.months,
US,NRES,Letter Restarting Period for Response (i.e. Letter re: References),Response to Non-Final Office Action,3.months,
US,NT.CR.APP.PA,Notice to File Corrected Application Papers,Petition for date of deposit/Later filing date/Acceptance of application as deposited (3 Month Extension),5.months,
US,NT.CR.APP.PA,Notice to File Corrected Application Papers,"File Substitute Specification, Drawings, Declaration and Fees ",2.months,
US,NT.CR.APP.PA,Notice to File Corrected Application Papers,Petition for date of deposit/Later filing date/Acceptance of application as deposited (2 Month Extension),4.months,
US,NT.CR.APP.PA,Notice to File Corrected Application Papers,Petition for date of deposit/Later filing date/Acceptance of application as deposited (1 Month Extension),3.months,
US,NT.CR.APP.PA,Notice to File Corrected Application Papers,Petition for date of deposit/Later filing date/Acceptance of application as deposited (4 Month Extension),6.months,
US,NT.INC.REPLY,Notice of Incomplete Reply,Extension of Time,4.months,Manuel Entry
US,NT.INC.REPLY,Notice of Incomplete Reply,Respond to Notice of Incomplete Reply,2.months,Manuel Entry
US,NT.INCPL.APP,Notice of Incomplete Application,Submit Missing Parts,1.weeks,Filing date cannot be givin until application is found to be complete.
US,NTC.A.NONCPL,Notice to the applicant regarding a non-compliant or non-responsive amendment,Response to Notice of Non-Compliant Amendment Due,2.months,
US,NTC.MISS.PRT,Notice to File Missing Parts,Missing Parts Response Due (1 Month Extension),3.months,
US,NTC.MISS.PRT,Notice to File Missing Parts,Missing Parts Response Due (4 Month Extension),6.months,
US,NTC.MISS.PRT,Notice to File Missing Parts,Missing Parts Response Due (3 Month Extension),5.months,
US,NTC.MISS.PRT,Notice to File Missing Parts,Missing Parts Response Due (2 Month Extension),4.months,
US,NTC.MISS.PRT,Notice to File Missing Parts,Missing Parts Response Due (5 Month Extension),7.months,
US,NTC.MISS.PRT,Notice to File Missing Parts,Missing Parts Response Due,2.months,
US,NTC.OMIT.APP,Notice of Omitted Items Application,Response to Notice of Omitted Items,3.months,"The Office is now requiring a reply to a Notice\nof Omitted Item(s) in a Nonprovisional Application, such a notice is now\nconsidered a notice or action by the Office making a rejection,\nobjection, argument, or other request within the meaning of 35 U.S.C.\n154(b)(2)(C)(ii) or 37 CFR 1.704(b). Therefore, if applicant fails to\nreply to such a notice within three months of the mailing date of the\nnotice, applicant would be subject to a reduction of patent term\nadjustment under 35 U.S.C. 154(b)(2)(C)(ii) and 37 CFR 1.704(b). As\ndiscussed previously, applicant must reply within the time period set\nin such notice (including any extensions under 37 CFR 1.136) to avoid\nabandonment of the application."
US,NTC.PUB,Notice of Publication,,,
US,NTC.PUB.DATE,Notice of New or Revised Publication Date,,,
US,O501,1.501 Submission by Patent Owner,IDS Cross Reference,,Manuel Entry
US,OA.EMAIL,Email Notification,,,
US,OA.FAI,First Action Interview - Office Action Summary,This Time Period for Reply is Extendable under 37 CFR 1.136(a) for Only TWO Additional MONTHS,4.months,
US,OA.FAI,First Action Interview - Office Action Summary,The Shortened Statutory Period for Reply is Set to Expire TWO MONTHS from the Mailing or Notification Date of this Communication,2.months,
US,P.102,RO/102 - Notification Concerning Payment of Prescribed Fees and Annex,Pay the Balance Due to Notification Concerning Payment of Prescribed Fees,1.month,
US,P.103,RO/103 - Invitation to Correct the Purported International Application (IA),Reply Due within Two Months from the Date of Mailing,2.months,
US,P.106,"RO/106 with Annex A, B and/or C - Invitation to Correct Defects in the IA",REPLY DUE within TWO MONTHS from the date of mailing,2.months,
US,P.108,RO/108 - Invitation to Request Rectification,The Request for Rectification Must Be Submitted to the Competent Authority within 26 Months from the Priority Date ,,
US,P.124,RO/124 - Notification of Defective POA or Defective Revocation of POA,Respond to RO/124 - Notification of Defective POA or Defective Revocation of POA,1.month,
US,P.133,RO/133 with Annex - Invitation to Pay Prescribed Fees Together with Late Payment Fee,Payment Due within ONE MONTH from the Date of Mailing,1.month,
US,P.136,RO/136 - Notification of Withdrawal,,,
US,P.151,RO/151 - Notification of Transmittal of IA to the IB as Receiving Office and Invitation to Pay Fee,Reply Due in 15 days from the date of mailing (only if item 3 applies),15.days,
US,P.152,RO/152 - Invitation to Authorize Transmittal of IA to the IB as Receiving Office and to Pay Fee,Reply Due in 15 days from the date of mailing,15.days,
US,P.154,RO/154 - Invitation to Indicate Competent IPEA,"Reply Due in 15 days from the date of mailing. HOWEVER, see also item 3 in the document. ",15.days,
US,P.156,RO/156 - Invitation to Correct Declarations Made in the Request Under PCT Rule 4.17,Submit a Replacement Sheet Containing a Corrected Declaration and Letter Explaining the Correction Within 16 months from the Priority Date. ,,
US,P.206,ISA/206 - Invitation to Pay Additional Fees,Pay Additional Fees within ONE MONTH from the date of mailing ,1.month,
US,P.216,ISA/216 - Invitation to Request Rectification,The Request for Rectification Must Be Submitted to the Competent Authority within 26 Months from the Priority Date ,,
US,P.220,"ISA/220 - Notification of Transmittal of Search Report and Written Opinion of the ISA, or the Declaration ",File Amendments and Statement under Article 19,2.months,
US,P.316,IB/316 - Invitation to Correct Priority Claim,Reply Due within 16 months from the (earliest) Priority Date or 4 months from the international filing date or within 2 months from the date on which the priority period expired,,
US,P.370,IB/370 - Invitation to Correct Declarations Made in the Request Under PCT Rule 4.17,Reply Due within 16 Months from the Priority Date by Submitting a Replacement Sheet Containing a Corrected Declaration Accompanied by a Letter Explaining the Correction,,
US,P.LET,Misc. incoming letter from Applicant - IA,,,
US,P.PAMPHLET,WIPO Publication-Non-English Version,,,
US,P.REQ.RECON,Request for Reconsideration - IA,,,
US,P.SELECT.ISA,CHI-Select Competent ISA,,,
US,P.WD.ATTY,Request to withdraw as attorney - IA,,,
US,P2.404,IPEA/404 - Invitation to Correct Defects in the Demand,Reply Due within ONE MONTH from the date of mailing. ,1.month,
US,P2.405,IPEA/405 Invitation to Restrict or Pay Additional Fees,Reply or Payment Due within ONE MONTH from the date of mailing,1.month,
US,P2.411,IPEA/411 - Invitation to Request Rectification,The Request for Rectification Must Be Submitted to the Competent Authority within 26 Months from the Priority Date,,
US,P2.440,IPEA/440 - Invitation to Pay Prescribed Fees Together with Late Payment Fee,Payment Due within ONE MONTH from the Date of Mailing,1.month,
US,P2.WD.ATTY,CHII - Request to withdraw as attorney - IA,,,
US,PA.LIST,List-up to 10 attys appointed in a POA,,,
US,PARENT_APDT,"PCT Application Filed (XX/XXX,XXX, Filing Date)",Submit Demand for Intl. Preliminary Examination (Optional),22.months,
US,PARENT_APDT,"PCT Application Filed (XX/XXX,XXX, Filing Date)",File in EPO by 31 Month Date (Entry into European Phase: Euro-PCT Chapter I),31.months,
US,PARENT_APDT,"PCT Application Filed (XX/XXX,XXX, Filing Date)",Chapter I National Phase Due Date,30.months,
US,PARENT_APDT,"PCT Application Filed (XX/XXX,XXX, Filing Date)",Chapter II National Phase Due Date,30.months,
US,PARENT_APDT,"PCT Application Filed (XX/XXX,XXX, Filing Date)",File in EPO by 31 Month Date (Entry into European Phase: Euro-PCT Chapter II),31.months,
US,PARENT_APDT,"PCT Application Filed (XX/XXX,XXX, Filing Date)",Supplemental International Search Request Due (Optional),19.months,
US,PC/I,Power to Make Copies and/or Inspect,,,
US,PD.AUTH.NTC,Notice that authorization for participating IP Offices to access US application was improper,File PTO/SB/39 to Correct Application,5.days,ASAP
US,PD.REQ.RETR,Request for USPTO to retrieve priority docs,,,
US,PEER.IDS,Third-Party Submission Peer to Patent,,,
US,PEFN,Pre-Exam Formalities Notice,Applicant Response to Pre-Exam Formalities Notice,,Manuel Entry
US,PEFR,Applicant Response to Pre-Exam Formalities Notice,,,
US,PEFRREISS,Response to Pre-Exam Reissue Notice,,,
US,PEFRSEQ,Response to Pre-Exam Sequence Notice,,,
US,PET.41.3,Petition under Rule 41.3 to Chief Admin Patent Judge,,,
US,PET.AUTO,Petition automatically granted by EFS,,,
US,PET.DEC.AUTO,Petition auto-grant letter from EFS,,,
US,PET.DEC.COCI,Petition Decision routed to Certificate of Correction,,,
US,PET.DEC.OIPE,Petition decision routed to the OIPE to act on the decision or continue prosecution.,Request for Reconsideration (if petition is dismissed),2.weeks,37 CFR 41.3(e)(1)(ii)
US,PET.DEC.PUBS,Petition decision routed to the Office of Publications to act on the decision or continue prosecution.,,,
US,PET.DEC.TC,Petition decision routed to the Technology Center to act on the decision or continue prosecution,,,
US,PET.OP.AGE,Petition to make special based on Age/Health,,,
US,PET.OPLA,Petition decided by Patent Legal Administration,,,
US,PET.PTA,Patent Term Adjustment Petition,,,
US,PET.RELIEF,Relief from Postal Emergency under 35 USC 21,,,
US,PET.SPRE,Petition for review by the Technology Center SPRE.,,,
US,PETDEC,Petition Decision,,,
US,PETWDISS,Petition to Withdraw from Issue,,,
US,PG.NONPUB.RQ,Nonpublication request from applicant.,,,
US,PGA9,Request/Corrected Patent Application Publications,,,
US,PPH.DECISION,Patent Prosecution Highway decision on request/petition to make special,Respond to Office Action within two months from the mailing date to Stay in Accelerated Examination.,,
US,PREX.SUP.DOC,Examination support document,,,
US,PRO TRANS,Translation of a provisional application filed with a non-provisional,,,
US,PROTEST,Protest Documents filed by 3rd Party,,,
US,Q.DEC.REOP,Reopen Prosecution after QPIDS Request after Notice of Allowance,,,
US,QPIDS.REQ,Quick Path IDS Request,Awaiting PTO Decision on Certification and Request for Consideration of an IDS Filed After Payment of the Issue Fee under the QPIDS Pilot Program.,1.month,
US,R.55.78.STMT,Make/Rescind AIA (First Inventor to File) 1.55/1.78 Stmnt,,,
US,R129,Request under Rule 129 to Reopen Prosecution,,,
US,R251.NTC,Notice to provide a copy of an applicant''s record under 37 CFR 1.251 to support the reconstruction of the application.,,,
US,R48.REQ,Request under Rule 48 correcting inventorship.,,,
US,R48.REQ.G,Acceptance of Request under Rule 48 to correct inventorship or name,,,
US,RCEX,Request for Continued Examination (RCE),,,
US,RCONVP,Petition to Convert Regular to Provisional,,,
US,REIS.CONSENT,Consent of Assignee accompanying the declaration,,,
US,REIS.DECL,Reissue dec filed in accordance with MPEP 1414,,,
US,REIS.NTCMERG,Notice of Merged Reexam-Reissue Proceeding (form PTO 1527),,,
US,REIS.REVFORM,Final Reissue Review Form indicating SPREs final review of an allowed reissue application.,,,
US,REIS.SUPDECL,Supp reissue dec filed in accord with MPEP 1414.01.,,,
US,RESC,Rescind Nonpublication Request for Pre Grant Pub,,,
US,RFND,Refund Denied,,,
US,RUSH,"Printer Query form, used by Office of Publications",,,
US,RX.90,Reexam follow-on papers received in OIPE,,,
US,RX.90.NE,"Improper documents which should not be entered, filed in a reexam",,,
US,RXAP/W,Withdrawal of Appeal,,,
US,RXAPDFA,Patent Board decision on rehearing - Decision is final and appealable,Apeal Patent Board Decision on Rehearing,1.months,What is the deadline for submitting an appeal?
US,RXAPDRN,Patent Board decision on rehearing - Decision is new decision,,,
US,RXBDAF,Board of Patent Appeals and Interferences Decision - Affirmance,,,
US,RXBDRV,Board of Patent Appeals and Interferences Decision - Reversal,Reopen Prosecution or Request Rehearing,1.months,
US,RXCAFC,Reexam Court of Appeals Decision Rendered,,,
US,RXCLKCHK,Reexamination Clerk Checklist,,,
US,RXCTAP,Reexam Appeal Patent Board Decision to Court of Appeals,,,
US,RXDCDS,Decision Denying Stay/Suspension of a Reexam Proceeding,,,
US,RXDCLS,Decision Lifting the Stay/Suspension of Reexam Proceedings,,,
US,RXDSMP,Decision Dissolving Merged Proceedings in Reexam,,,
US,RXMRRD,Decision Dissolving the Merged Reexam and Reissue Proceedings,,,
US,RXMRRI,Decision Merging Reexam and Reissue Proceedings -- Reissue Application,,,
US,RXMRRT,Merged Reexam and Reissue Proceedings Concluded by Mailing Notice of Allowance in the Reissue Appl.,,,
US,RXMRXD,Decision Denying Merger of Reexam Proceedings,,,
US,RXNFDACC,Reexam - Notice of filing date accorded,,,
US,RXNINA,Notification of Informal or Nonresponsive Amendment,Submit Corrected Amendment,,Manual Entry
US,RXNREQ.U,Notice of Untimely Reexam Request,,,
US,RXNRES,"Letter Restarting Period of Response in a Reexam Proceeding - e.g., Letter re References, remail",,,
US,RXOGNOTC,Notice of Reexam Published in Official Gazette,,,
US,RXOR.U,Reexam Untimely Patent Owner''s Stmnt in Resp to Order,,,
US,RXPETD,Petition Decision on Request for Reconsideration Denying Reexamination,,,
US,RXPETG,Petition Decision on Request for Reconsideration Ordering Reexamination,,,
US,RXPREP.TERM,Preprocessing Terminated - Ex Parte Reexam Request - no filing date accorded,,,
US,RXRQ4FP,Reexam Req for For Priority (Priority Papers May Be Incl),,,
US,RXRQS.,Reexam Request to Lift Suspension of Prosecution,,,
US,RXRR.U,Reexam Untimely Reqr Reply to Owner Stmnt,,,
US,RXTD.NE,Reexam Notification of Terminal Disclaimer - Not Accepted,,,
US,RXTD.OK,Reexam Notification of Terminal Disclaimer - Accepted,,,
US,RXVACATE,Decision Vacating a Determination Ordering a Reexamination,,,
US,RXWDNIRC,Withdrawal of Notice of Intent to Issue Reexamination Certificate,,,
US,SADV,Supplemental Advisory Action,,,
US,SEQ.REQ.DISC,Requirements for Sequence Disclosure Notice,,,
US,SES.REQ,Assertion of entitlement to small entity status,,,
US,SFR.,Supplemental Final Rejection,,,
US,SOL.DC.NFD,Brief synopsis of civil proceeding from filing to disposal,,,
US,SPEC.NE,Specification-Amendment Not Entered,,,
US,SR..,Supplemental Non-Final Rejection (PTOL-326),,,
US,SRES,Supplemental Restriction,,,
US,STAT.DISCLMR,Statutory disclaimers per MPEP 1490.,,,
US,T501,Prior art submission by a third party under Rule 37 CFR 1.501 during the period of enforceability of a patent,,,
US,TABLE,Table not included in SPEC (Text File),,,
US,TR.PROV,Provisional Cover Sheet (SB16)  (Only if user inputs or we have pkID),File Non-Provisional Patent Application,12.months,
US,TRACK1.REQ,Certification and Request for Prioritized Examination Under 37 CFR 1.102(e),,,
US,TRREISS,Transmittal Reissue Application,,,
US,VACATE.PROC,"Decision Vacating a Determination Ordering a Reexamination Proceeding, or Vacating an Inteference Proceeding.",,,
US,VOL.TABLE,Request to Voluntarily supply Lengthy Table,,,
US,W/AC,Letter Withdrawing/Vacating Office Action,,,
US,WCLM,Claims Worksheet (PTO-2022),,,
US,WFEE,Fee Worksheet (SB06),,,
US,X.DEADLINES,Notification to TC personnel of reexam request deadlines,,,
US,XI.ACP,Action Closing Prosecution (nonfinal),Submit Comments after Action Closing Prosecution                                                                          ,,Manual Entry
US,XI.AP.DN,New Board of Appeals Decision after Board Decision with New Ground of Rejection: New Ground of Rej (subsequent to XI.APDN),,,
US,XI.AP.DP,New Board of Appeals Decision after Board Decision With New Gound of Rejection: Examiner Affirmed in Part,,,
US,XI.AP/W,Withdrawal of Appeal,,,
US,XI.APCTO,Patent Owner Appeal to the Federal Circuit Filed,,,
US,XI.APCTR,Requester Appeal to the Federal Circuit,,,
US,XI.APDFA,Board of Appeals Decision on Rehearing - Decision is Final and Appealable,File Notice of Appeal to Federal Circuit,2.months,"No new evidence or arguments for appeal to Federal Circuit. 35 USC 141, 145; 37 CFR 1.302, 1.303, 1.304"
US,XI.APDFA,Board of Appeals Decision on Rehearing - Decision is Final and Appealable,Civil action in District Court ED Va.,2.months,Can present new evidence and/or new arguments in civil action in District Court. 
US,XI.APDN,Patent Board Decision: New Ground of Rejection (R.1.977(b)) (first decision),,,
US,XI.APDRC,Requester Comments on Patent Owner Response after Board Decision,,,
US,XI.APDRN,Board of Appeals Decision on Rehearing - Decision is New Decision,,,
US,XI.APXDT,Examiner''s Determination on Patent Owner Response/Requester Comments after Board Decision; Examiner's Determination on Patent Owner Response/Requester Comments after Board Decision,Submit Patent Owner Comments/Reply,1.month," Within 1 month, owner or any requester may once submit comments in response to the examinerâ€™s determination.  Within one month of the date of service of comments in response to the examinerâ€™s determination, the owner and any requesters may file a reply to the comments."
US,XI.N/APD,Defective Notice of Appeal or Cross Appeal Filed,,,
US,XI.N/APR,Notice of Appeal - Requester,Notice of Cross Appeal,2.weeks,14 days from service of requester's Notice of Appeal (non-extendable per 37 CFR 41.61(e)).
US,XI.NCAPO,Notice of Cross Appeal - Owner,,,
US,XI.NCAPR,Notice of Cross Appeal - Third Party Requester,,,
US,XI.NREQI,Notification of Incomplete Inter Partes Reexam Request,,,
US,XI.PREP.TERM,Preprocessing Terminated - Inter Partes Reexam Request - no filing date accorded,,,
US,XI.RAN.,Right of Appeal Notice,Notice of Appeal,1.months,http://www.uspto.gov/web/offices/pac/mpep/s2673.html
US,XI.RPET,Petition received re:Denial of a Request,,,
US,XI.RQRHR,Requester Request for Rehearing after Board Decision,,,
US,XI.RRHOC,Patent Owner Comments on Req for Rehearing timely,,,
US,XI.RRHRC,Requester Comments on Req for Rehearing timely,,,
US,XI.XDTOC,Patent Owner Comments on Examiner''s Determination after Board Decision,,,
US,XI.XDTOR,Pat Ownr Rep to Reqr Cmnts-Exam Deter after Brd Decn W/ New Grnd of Rej,,,
US,XI.XDTRC,Reqr Comments on Examiners Determ after Board Decision,,,
US,XI.XDTRR,Pat Ownr Rep to Reqr Cmnts-Exam Deter after Brd Decn W/ New Grnd of Rej-Timely,,,
US,XI.XRRAN,Expedited Request for a Right of Appeal Notice,,,
US,XRUSH,Internal Response to Printer Query from TC,,,
US,XT/,Extension of Time,,,